Timestamp,What year are you in school?,Choose your favorite,Favorite TV,Probable Major?
2/14/2023 19:01:16,First-year,Dogs,Anime,Statistical Science
2/15/2023 9:49:52,First-year,Dogs,Action/Adventure,Not Statistical Science
2/15/2023 10:12:58,Sophomore,Dogs,Comedy,Not Statistical Science
2/15/2023 10:13:51,Sophomore,Dogs,Drama,Not Statistical Science
2/15/2023 10:16:12,First-year,Dogs,Drama,Not Statistical Science
2/15/2023 10:16:17,First-year,Cats,Sports,Statistical Science
2/15/2023 10:16:26,First-year,Cats,Drama,Not Statistical Science
2/15/2023 10:16:41,Junior,Cats,Thriller,Not Statistical Science
2/15/2023 10:16:48,First-year,Cats,Drama,Not Statistical Science
2/15/2023 10:17:16,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:17:23,First-year,Dogs,Action/Adventure,Not Statistical Science
2/15/2023 10:17:23,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:17:29,First-year,Dogs,Drama,Not Statistical Science
2/15/2023 10:17:46,First-year,Dogs,Action/Adventure,Statistical Science
2/15/2023 10:17:50,Sophomore,Dogs,Comedy,Not Statistical Science
2/15/2023 10:17:51,Junior,Dogs,Comedy,Not Statistical Science
2/15/2023 10:17:58,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:17:58,First-year,Dogs,Action/Adventure,Not Statistical Science
2/15/2023 10:18:01,First-year,Cats,Action/Adventure,Not Statistical Science
2/15/2023 10:18:04,Senior,Dogs,Comedy,Not Statistical Science
2/15/2023 10:18:05,Sophomore,Dogs,Drama,Not Statistical Science
2/15/2023 10:18:06,Sophomore,Dogs,Comedy,Not Statistical Science
2/15/2023 10:18:07,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:18:09,First-year,Dogs,Comedy,Statistical Science
2/15/2023 10:18:13,Sophomore,Dogs,Drama,Not Statistical Science
2/15/2023 10:18:14,Junior,Dogs,Anime,Not Statistical Science
2/15/2023 10:18:15,First-year,Cats,Drama,Not Statistical Science
2/15/2023 10:18:15,Sophomore,Dogs,Drama,Not Statistical Science
2/15/2023 10:18:17,Sophomore,Dogs,Comedy,Not Statistical Science
2/15/2023 10:18:18,First-year,Dogs,Drama,Not Statistical Science
2/15/2023 10:18:23,First-year,Dogs,Drama,Statistical Science
2/15/2023 10:18:33,First-year,Cats,Drama,Not Statistical Science
2/15/2023 10:18:34,First-year,Dogs,Comedy,Statistical Science
2/15/2023 10:18:36,First-year,Cats,Action/Adventure,Statistical Science
2/15/2023 10:18:50,Sophomore,Cats,Action/Adventure,Not Statistical Science
2/15/2023 10:18:50,First-year,Dogs,Anime,Not Statistical Science
2/15/2023 10:18:53,Senior,Dogs,Comedy,Not Statistical Science
2/15/2023 10:19:02,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:19:22,First-year,Cats,Anime,Statistical Science
2/15/2023 10:19:29,First-year,Dogs,Anime,Not Statistical Science
2/15/2023 10:19:41,Sophomore,Dogs,Sports,Not Statistical Science
2/15/2023 10:19:41,First-year,Cats,Drama,Statistical Science
2/15/2023 10:19:43,First-year,Dogs,Thriller,Not Statistical Science
2/15/2023 10:19:45,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:19:50,Sophomore,Cats,Drama,Not Statistical Science
2/15/2023 10:20:01,Junior,Dogs,Drama,Not Statistical Science
2/15/2023 10:20:02,Junior,Dogs,Comedy,Not Statistical Science
2/15/2023 10:20:04,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:20:04,First-year,Dogs,Anime,Not Statistical Science
2/15/2023 10:20:08,Junior,Dogs,Sports,Not Statistical Science
2/15/2023 10:20:16,Sophomore,Dogs,Drama,Not Statistical Science
2/15/2023 10:20:24,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:20:32,Senior,Dogs,Drama,Not Statistical Science
2/15/2023 10:20:50,First-year,Dogs,Comedy,Not Statistical Science
2/15/2023 10:20:57,Junior,Cats,Drama,Not Statistical Science
2/15/2023 10:21:22,Junior,Cats,Comedy,Not Statistical Science
2/15/2023 10:21:49,Junior,Dogs,Anime,Not Statistical Science